track_id,track_name,artist_name,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1mWdTewIgB3gtBM3TOSFhB,Butter,BTS,164442,2021-06-04,88,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997
4ZtFanR9U6ndgddUvNcjcG,Good 4 U,Olivia Rodrigo,178147,2021-05-21,92,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928
5nujrmhLynf4yMoMtj8AQF,Levitating,Dua Lipa,203064,2020-03-27,86,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),242096,2021-11-11,84,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd & Ariana Grande,215627,2020-03-20,89,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
2bIYS7iV3IjUixYZsVXGvQ,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,198082,2022-04-19,0,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03
3DarAbFujv6eYNliUTyqtz,Kiss Me More,Doja Cat Featuring SZA,208667,2021-06-25,85,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97
6HU7h9RYOaPRFeh0R3UeAr,Deja Vu,Olivia Rodrigo,215507,2021-05-21,88,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,132780,2021-01-06,81,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996
1SC5rEoYDGUK4NfG82494W,Montero (Call Me By Your Name),Lil Nas X,137704,2021-09-17,86,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781
27OeeYzk6klgBh83TSvGMA,Without You,The Kid LAROI,161385,2020-11-06,82,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005
5CZ40GBx1sQ9agT82CLQCT,Traitor,Olivia Rodrigo,229227,2021-05-21,90,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607
5wANPM4fQCJwkGd4rN57mH,Drivers License,Olivia Rodrigo,242013,2021-05-21,90,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
43PGPuHIlVOc04jrZVh9L6,Rapstar,Polo G,165926,2021-04-09,79,0.789,0.536,6,-6.862,1,0.242,0.41,0,0.129,0.437,81.039
